         17004346 function calls (16945508 primitive calls) in 13.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1233    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       45    0.001    0.000    0.886    0.020 __init__.py:1(<module>)
     1873    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      974    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       11    0.001    0.000    0.081    0.007 artist.py:1380(pprint_setters)
   260/11    0.001    0.000    0.004    0.000 pyparsing.py:1647(_parseNoCache)
   434/89    0.001    0.000    0.573    0.006 {built-in method builtins.__import__}
    986/8    0.001    0.000    1.024    0.128 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2309    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      752    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1149    0.001    0.000    0.007    0.000 pointvector.py:205(__ne__)
      782    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      410    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
     2680    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     3035    0.001    0.000    0.001    0.000 inspect.py:2517(name)
       13    0.001    0.000    0.003    0.000 enum.py:654(<listcomp>)
       32    0.001    0.000    0.008    0.000 colors.py:782(from_list)
      182    0.001    0.000    0.002    0.000 typing.py:212(_remove_dups_flatten)
     1152    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      611    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      432    0.001    0.000    0.028    0.000 _decorators.py:330(__call__)
      891    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      138    0.001    0.000    0.005    0.000 deprecation.py:172(deprecate)
     3058    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      412    0.001    0.000    0.002    0.000 artist.py:1357(aliased_name)
      211    0.001    0.000    0.002    0.000 enum.py:836(__and__)
     2402    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1085    0.001    0.000    0.001    0.000 typing.py:322(__hash__)
     2198    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      611    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     1260    0.001    0.000    0.001    0.000 colors.py:277(<genexpr>)
      760    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      155    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
      331    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
        1    0.001    0.001    0.026    0.026 geos.py:3(<module>)
     1574    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       12    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      611    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      349    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
        1    0.001    0.001    0.001    0.001 geos.py:678(__init__)
      527    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      188    0.001    0.000    0.001    0.000 colors.py:845(<listcomp>)
       30    0.001    0.000    0.002    0.000 function_base.py:26(linspace)
      693    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       69    0.001    0.000    0.005    0.000 {built-in method builtins.eval}
      926    0.001    0.000    0.001    0.000 sre_parse.py:81(groups)
      722    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.001    0.001    0.038    0.038 backend_qt5.py:1(<module>)
      616    0.001    0.000    0.001    0.000 _inspect.py:15(ismethod)
        1    0.001    0.001    0.001    0.001 ctypes_declarations.py:23(prototype)
      780    0.001    0.000    0.001    0.000 inspect.py:504(_is_wrapper)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
      652    0.001    0.000    0.045    0.000 inspect.py:3081(signature)
      616    0.001    0.000    0.001    0.000 _inspect.py:28(isfunction)
      507    0.001    0.000    0.024    0.000 re.py:180(search)
      652    0.001    0.000    0.044    0.000 inspect.py:2829(from_callable)
       56    0.001    0.000    0.001    0.000 inspect.py:3035(__str__)
      383    0.001    0.000    0.002    0.000 __init__.py:374(__getattr__)
      752    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      752    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
       16    0.001    0.000    0.001    0.000 cycler.py:55(_process_keys)
      572    0.001    0.000    0.001    0.000 <string>:1(__new__)
  253/204    0.001    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      273    0.000    0.000    0.001    0.000 function_base.py:428(_needs_add_docstring)
     1816    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
      395    0.000    0.000    0.001    0.000 enum.py:18(_is_descriptor)
      782    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
      612    0.000    0.000    0.001    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.003    0.003 pyplot.py:1953(_setup_pyplot_info_docstrings)
      126    0.000    0.000    0.001    0.000 expr.py:168(<genexpr>)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      211    0.000    0.000    0.025    0.000 sre_compile.py:598(_code)
      451    0.000    0.000    0.007    0.000 colors.py:128(is_color_like)
      410    0.000    0.000    0.005    0.000 pyparsing.py:1423(copy)
       54    0.000    0.000    0.004    0.000 __init__.py:889(_open_file_or_url)
       31    0.000    0.000    0.008    0.000 _collections_abc.py:824(update)
